id;placed_date;status;code;invoice_id;customer_id
1;2021-02-13T04:54:22;COMPLETED;Electronics;ivory withdrawal;1
2;2021-02-13T04:31:07;PENDING;functionalities;compress Soft cross-platform;2
3;2021-02-13T12:55:41;PENDING;Concrete;THX Car hybrid;3
4;2021-02-13T10:37:12;PENDING;solid navigating;Holy United communities;4
5;2021-02-13T08:43:29;COMPLETED;circuit Industrial Checking;program;5
6;2021-02-13T10:23:09;PENDING;Reactive contingency Bedfordshire;Market input;6
7;2021-02-12T18:52:40;CANCELLED;Chair JSON;Credit RAM Metal;7
8;2021-02-13T03:01:24;CANCELLED;Beauty mission-critical;collaborative;8
9;2021-02-12T18:25:52;CANCELLED;hacking proactive;Concrete Streamlined Division;9
10;2021-02-13T00:32:25;PENDING;full-range back;eco-centric FTP;10
